appid,,type,is_free,release_date,required_age,short_description,supported_languages,header_image,background,metacritic_score,recommendations_total,mat_supports_windows,mat_supports_mac,mat_supports_linux,mat_initial_price,mat_final_price,mat_discount_percent,mat_currency,mat_achievement_count,mat_pc_os_min,mat_pc_processor_min,mat_pc_memory_min,mat_pc_graphics_min,mat_pc_os_rec,mat_pc_processor_rec,mat_pc_memory_rec,mat_pc_graphics_rec,created_at,updated_at,,,,name
1670,,game,FALSE,26/07/06,0,"The most devastating mechanized armor to ever roll onto a battlefield is brought to life in Iron Warriors: T72-Tank Command. This epic combat simulator allows the player to command an entire platoon of tanks and ALL associated support units, or assume the role of ANY member in a complete tank crew!",English,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1670/header.jpg?t=1574192407,https://store.akamai.steamstatic.com/images/storepagebackground/app/1670?t=1574192407,56,259,TRUE,TRUE,TRUE,599,599,0,USD,,,,,,,,,,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,,,,Iron Warriors: T - 72 Tank Command 
1690,,game,FALSE,16/10/06,0,"Space Empires V is the latest edition in the Space Empires series. This new chapter completely updates the UI and takes the player into a real-time rendered 3D universe. Watch space battles played out in glorious detail and realistic effects. Expand, Explore, Exploit, and Exterminate in a huge living breathing galaxy.",English,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1690/header.jpg?t=1730669501,https://store.akamai.steamstatic.com/images/storepagebackground/app/1690?t=1730669501,68,401,TRUE,TRUE,TRUE,1499,1499,0,USD,,,,,,,,,,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,,,,Space Empires V
1700,,game,FALSE,03/04/07,0,"This critically acclaimed first-person RPG from Arkane Studios takes the player on an amazing journey into the fantasy world of Arx. Arx is wrought with turmoil, brought to the brink of destruction by a violent war.","English, French, German, Italian, Spanish - Spain, Russian",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1700/header.jpg?t=1590704297,https://store.akamai.steamstatic.com/images/storepagebackground/app/1700?t=1590704297,77,2132,TRUE,TRUE,TRUE,499,499,0,USD,,,,,,,,,,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,,,,Arx Fatalis
1710,,demo,TRUE,04/04/07,0,,English,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1710/header.jpg?t=1447351024,https://store.akamai.steamstatic.com/images/storepagebackground/app/1710?t=1447351024,77,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,,,,Arx Fatalis Demo
1840,,game,TRUE,10/07/12,0,"The Source Filmmaker (SFM) is the movie-making tool built and used by us here at Valve to make movies inside the Source game engine. Because the SFM uses the same assets as the game, anything that exists in the game can be used in the movie, and vice versa.",English,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1840/header.jpg?t=1677267197,https://store.akamai.steamstatic.com/images/storepagebackground/app/1840?t=1677267197,,223,TRUE,TRUE,TRUE,,,,,,Windows 7 / Vista (Windows 7 64 bit suggested),"3.0 GHz P4, Dual Core 2.0 (or higher) or AMD64X2 (or higher)",2GB (4 GB suggested),"NVIDIA GeForce 200 series card or better, or AMD Radeon 3000 series or better (NVIDIA GeForce 400 series or AMD Radeon 5000 series preferred)",,,,,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:02:55.901652+00:00,,,,Source Filmmaker
1900,,game,FALSE,01/04/06,0,"After the destruction of the EARTH in 2150, the leaders of the Eurasian Dynasty escaped on board an evacuation fleet. Now they are fighting for the survival of the human species. Their base is one large building comprising of smaller variable parts.","English<strong>*</strong>, French<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Italian<strong>*</strong>, Czech, Polish<strong>*</strong>, Russian<strong>*</strong><br><strong>*</strong>languages with full audio support",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1900/header.jpg?t=1623327678,https://store.akamai.steamstatic.com/images/storepagebackground/app/1900?t=1623327678,73,729,TRUE,TRUE,TRUE,999,499,50,USD,,,,,,,,,,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,,,,Earth 2160
1920,,,FALSE,06/11/07,17,"Offering a freedom of choice unseen in other Role Playing Games. The world literally comes to life as it immediately reacts to the player's actions and changes accordingly -offering new and exciting challenges. Strong, non-linear storyline.","English, French, German",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1920/header.jpg?t=1447351149,https://store.akamai.steamstatic.com/images/storepagebackground/app/1920?t=1447351149,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,,,,Two Worlds
1930,,game,FALSE,30/04/09,17,"... 300 years after Aziraal has been banished, a brother and sister are drawn into the conflict which has flared up between the Orcs and the free world. Kyra, the hero's younger sister, suddenly disappears in mysterious circumstances.«...If my family really belongs to the chosen ones, why then have we always been as poor as church mice?","English<strong>*</strong>, French<strong>*</strong>, German<strong>*</strong>, Italian, Spanish - Spain, Czech, Polish, Russian<br><strong>*</strong>languages with full audio support",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1930/header.jpg?t=1694869345,https://store.akamai.steamstatic.com/images/storepagebackground/app/1930?t=1694869345,65,2516,TRUE,TRUE,TRUE,1499,449,70,USD,,Windows XP / Vista / 7 / 8,Dual Core CPU 2.0 GHz,1 GB,"GeForce FX 6, 7 and 8 series, AMD/ATI Radeon X-series with Shader 2.0b support",Windows XP SP2 / Vista / 7 / 8,Intel/AMD Multicore CPU,2 GB,with Per-Pixel-Shader 3.0 support,2025-09-07 12:36:43.243384+00:00,2025-09-29 06:03:28.900913+00:00,,,,Two Worlds Epic Edition
2100,,game,FALSE,25/10/06,17,"Discover a new breed of Action-RPG game powered by an enhanced version of the Source™ Engine by Valve. Set in the Might &amp; Magic® universe, players will experience ferocious combat in a dark and immersive fantasy environment. Swords, Stealth, Sorcery. Choose your way to kill.","English, French, German, Italian, Spanish - Spain",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2100/header.jpg?t=1692823741,https://store.akamai.steamstatic.com/images/storepagebackground/app/2100?t=1692823741,72,8582,TRUE,TRUE,TRUE,999,999,0,USD,,,,,,,,,,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,,,,Dark Messiah of Might & Magic
2120,,demo,TRUE,07/09/06,0,"Discover a new breed of Action-RPG game powered by an enhanced version of the Source&trade; Engine by Valve. Set in the Might & Magic&reg; universe, players will experience ferocious combat in a dark and immersive fantasy environment. Swords, Stealth, Sorcery. Choose your way to kill.","English, French, German, Italian, Japanese, Korean, Portuguese - Portugal, Russian, Traditional Chinese, Simplified Chinese, Spanish - Spain, Thai",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2120/header.jpg?t=1447350874,https://store.akamai.steamstatic.com/images/storepagebackground/app/2120?t=1447350874,72,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,2025-09-07 12:36:43.243384+00:00,2025-09-29 02:01:37.107239+00:00,,,,Dark Messiah Singleplayer Demo
